table_name,column_name,value,replacement
"family_antecedents_treatment_line","family_member","Padre","Male_First_Degree"
"family_antecedents_treatment_line","family_member","1r grado (no specif)","First_Degree"
"family_antecedents_treatment_line","family_member","prima materna","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","tia materna","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","Primo hermano patern","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","Primo hermano matern","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","Bisabuela materna","Female_Third_Degree"
"family_antecedents_treatment_line","family_member","Prima hermana matern","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","Abuela materna","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","3 hermanas","Female_First_Degree"
"family_antecedents_treatment_line","family_member","tía paterna","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","prima paterna","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","MARIDO",
"family_antecedents_treatment_line","family_member","Pare","Male_First_Degree"
"family_antecedents_treatment_line","family_member","Abuela materana","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","madare","Female_First_Degree"
"family_antecedents_treatment_line","family_member","TIA PATERNA 1","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","TIA PATERNA 2","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","TIA PATERNA 3","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","TIA PATERNA 4","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","primas hermanas","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","Hemana","Female_First_Degree"
"family_antecedents_treatment_line","family_member","tio  materno","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","made","Female_First_Degree"
"family_antecedents_treatment_line","family_member","hremano","Male_First_Degree"
"family_antecedents_treatment_line","family_member","PRIMO PATERNO 1","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","PRIMO PATERNO 2","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","PRIMO PATERNO 3","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","PRIMO PATERNO 4","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","HERMNAO","Male_First_Degree"
"family_antecedents_treatment_line","family_member","PRIMA HERMANA","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","MUJER",
"family_antecedents_treatment_line","family_member","PROGENITOR","Male_First_Degree"
"family_antecedents_treatment_line","family_member","Herrmano","Male_First_Degree"
"family_antecedents_treatment_line","family_member","tío materno 1","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","tío materno 2","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","tío materno 3","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","tío materno 4","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","tío materno 5","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","abuela materno","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","primo materno","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","TIA ABUELA","Female_Third_Degree"
"family_antecedents_treatment_line","family_member","Primo paterno","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","Tío materna","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","Bisabuela paterna","Female_Third_Degree"
"family_antecedents_treatment_line","family_member","h",
"family_antecedents_treatment_line","family_member","Hernano","Male_First_Degree"
"family_antecedents_treatment_line","family_member","prima 2ª materna","Female_Third_Degree"
"family_antecedents_treatment_line","family_member","tio paterno 2","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","tio paterno 3","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","hermana gemela","Female_First_Degree"
"family_antecedents_treatment_line","family_member","hermano 3","Male_First_Degree"
"family_antecedents_treatment_line","family_member","hermano 4","Male_First_Degree"
"family_antecedents_treatment_line","family_member","hermano 5","Male_First_Degree"
"family_antecedents_treatment_line","family_member","Bisabuela","Female_Third_Degree"
"family_antecedents_treatment_line","family_member","hermana 1","Female_First_Degree"
"family_antecedents_treatment_line","family_member","hermana 2","Female_First_Degree"
"family_antecedents_treatment_line","family_member","prima segunda","Female_Third_Degree"
"family_antecedents_treatment_line","family_member","1",
"family_antecedents_treatment_line","family_member","Abuelo materon","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","3 tias maternas","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","primas maternas","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","HERMANAS","Female_First_Degree"
"family_antecedents_treatment_line","family_member","Primo Hermano","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","Tio 1","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","Tio 2","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","Primo 1","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","Primo 2","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","Tia Materna 2","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","Hermana 3","Female_First_Degree"
"family_antecedents_treatment_line","family_member","Sobrino 2","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","Sobrino 3","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","Prima 2","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","Prima 3","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","hermanastro paterno","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","Bisabuelo materno","Male_Third_Degree"
"family_antecedents_treatment_line","family_member","hermano mayor","Male_First_Degree"
"family_antecedents_treatment_line","family_member","tias maternas","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","primos","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","hermano pequeño","Male_First_Degree"
"family_antecedents_treatment_line","family_member","Prima hermana patern","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","Esposa",
"family_antecedents_treatment_line","family_member","Propio paciente",
"family_antecedents_treatment_line","family_member","Esposo",
"family_antecedents_treatment_line","family_member","Familia paterna","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","Rama materna","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","UNK",
"family_antecedents_treatment_line","family_member","prima carnal","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","NO SABE",
"family_antecedents_treatment_line","family_member","Tia paterno","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","Tía materma","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","Hermanos","Male_First_Degree"
"family_antecedents_treatment_line","family_member","Madre y tia","Female_First_Degree"
"family_antecedents_treatment_line","family_member","tia abuela materna","Female_Third_Degree"
"family_antecedents_treatment_line","family_member","TIA CARNAL","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","TIO CARNAL","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","PRIMO CARNAL","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","SOBRINO 1","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","PRIMA 1 MATERNA","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","PRIMA 2 MATERNA","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","PRIMA 1 PATERNA","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","PRIMA 2 PATERNA","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","TIO PATERNA","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","APDRE","Male_First_Degree"
"family_antecedents_treatment_line","family_member","HERMANASTRO","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","TIOS","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","tima materna","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","PRIMO PADRE","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","PRIMA MADRE","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","HERMANASTRA (MADRE)","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","HERM,ANO","Male_First_Degree"
"family_antecedents_treatment_line","family_member","Hermana mayor","Female_First_Degree"
"family_antecedents_treatment_line","family_member","Tía materna (misma)","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","Mama","Female_First_Degree"
"family_antecedents_treatment_line","family_member","Leucemia",
"family_antecedents_treatment_line","family_member","prim","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","Antecedentes familia","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","3 tios","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","2 tías","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","Tios maternos","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","Nieta","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","misma hermana","Female_First_Degree"
"family_antecedents_treatment_line","family_member","Pacre","Male_First_Degree"
"family_antecedents_treatment_line","family_member","Tñis","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","Sobreina","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","Múltiples familiares","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","tío peterno","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","primo paterna","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","hemano","Male_First_Degree"
"family_antecedents_treatment_line","family_member","Dos tías paternas","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","Dos tíos paternos","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","Sobrino materno","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","Tío abuelo","Male_Third_Degree"
"family_antecedents_treatment_line","family_member","Primo segundo","Male_Third_Degree"
"family_antecedents_treatment_line","family_member","Tío mmatero","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","Sobrina paterna","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","tía ,aterna","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","tia matenna","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","primo sgundo materno","Male_Third_Degree"
"family_antecedents_treatment_line","family_member","Padre o hermano","Male_First_Degree"
"family_antecedents_treatment_line","family_member","2 primos","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","primo hermanmaterno","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","Tío vía materna","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","prima hermana (pater","Female_Second_Degree"
"family_antecedents_treatment_line","family_member","Padre fallecido","Male_First_Degree"
"family_antecedents_treatment_line","family_member","tio paterno fallecid","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","Tio carnal paterno","Male_Second_Degree"
"family_antecedents_treatment_line","family_member","Tia carnal paterna","Female_Second_Degree"
