"table_name","column_name","biomarker","value","replacement"
"biomarker_mutation","result","MET","3","Negative"
"biomarker_mutation","result","MET","2","Overexpressed"
"biomarker_mutation","result","MET","1","Mutated"
"biomarker_mutation","result","MET","0","Mutated-Ex14"
"biomarker_mutation","result","KRAS","1","Detected"
"biomarker_mutation","result","KRAS","0","Non_detected"
"biomarker_mutation","result","BRAF","1","Detected"
"biomarker_mutation","result","BRAF","0","Non_detected"
"biomarker_mutation","result","HER2Mut","1","Detected"
"biomarker_mutation","result","HER2Mut","0","Non_detected"
"biomarker_mutation","result","RET","1","Traslocated"
"biomarker_mutation","result","RET","0","Non_Traslocated"
"biomarker_mutation","result","FGFR1","1","Traslocated"
"biomarker_mutation","result","FGFR1","0","Non_Traslocated"
"biomarker_mutation","result","NTKR","1","Mutated"
"biomarker_mutation","result","NTKR","0","No_Mutated"
"biomarker_mutation","result","MET","Negative","Negative"
"biomarker_mutation","result","MET","Mutated","Mutated"
"biomarker_mutation","result","KRAS","Detected","Detected"
"biomarker_mutation","result","KRAS","Non detected","Non_detected"
"biomarker_mutation","result","BRAF","Detected","Detected"
"biomarker_mutation","result","BRAF","Non detected","Non_detected"
"biomarker_mutation","result","RET","Traslocated","Traslocated"
"biomarker_mutation","result","RET","Non Traslocated","Non_Traslocated"
"chemotherapy_treatment_line","type","1",""
"chemotherapy_treatment_line","type","2",""
"chemotherapy_treatment_line","type","3","Neoadjuvant"
"chemotherapy_treatment_line","type","4","Adjuvant"
"chemotherapy_treatment_line","type","6",""
"chemotherapy_treatment_line","type","7",""
"chemotherapy_treatment_line","type","8","Adjuvant"
"chemotherapy_treatment_line","type","9","Neoadjuvant"
"chemotherapy_treatment_line","type","10",""
"chemotherapy_treatment_line","type","12",""
"chemotherapy_treatment_line","type","13",""
"chemotherapy_treatment_line","type","14",""
"chemotherapy_treatment_line","type","15",""
"chemotherapy_treatment_line","type","11",""
"chemotherapy_treatment_line","type","-1","UNK"
