"table_name","column_name","value","replacement"
"chemotherapy_treatment_line","type","1",""
"chemotherapy_treatment_line","type","2",""
"chemotherapy_treatment_line","type","3","Neoadjuvant"
"chemotherapy_treatment_line","type","4","Adjuvant"
"chemotherapy_treatment_line","type","6",""
"chemotherapy_treatment_line","type","7",""
"chemotherapy_treatment_line","type","8","Adjuvant"
"chemotherapy_treatment_line","type","9","Neoadjuvant"
"chemotherapy_treatment_line","type","10",""
"chemotherapy_treatment_line","type","12",""
"chemotherapy_treatment_line","type","13",""
"chemotherapy_treatment_line","type","14",""
"chemotherapy_treatment_line","type","15",""
"chemotherapy_treatment_line","type","11",""
"chemotherapy_treatment_line","type","-1","UNK"
