Target_ID,Target_name,CUI,Gene_name,Uni_ID
BE0000001,Peptidoglycan_synthase_FtsI,,ftsI,P45059
BE0000002,Histidine_decarboxylase,C0019605,HDC,P19113
BE0000003,"Glutaminase_liver_isoform,_mitochondrial",C0017796,GLS2,Q9UI32
BE0000004,Coagulation_factor_XIII_A_chain,C1414500,F13A1,P00488
BE0000005,"Nitric_oxide_synthase,_inducible",C0669372,NOS2,P35228
BE0000006,Estradiol_17-beta-dehydrogenase_2,C0014914,HSD17B2,P37059
BE0000007,"Glycogen_phosphorylase,_liver_form",C0969684,PYGL,P06737
BE0000008,"NAD(P)_transhydrogenase,_mitochondrial",,NNT,Q13423
BE0000009,Alcohol_dehydrogenase_class-3,,ADH5,P11766
BE0000010,"Aminomethyltransferase,_mitochondrial",,AMT,P48728
BE0000011,"Isocitrate_dehydrogenase_[NAD]_subunit_alpha,_mitochondrial",C1415878,IDH3A,P50213
BE0000012,Voltage-dependent_T-type_calcium_channel_subunit_alpha-1I,,CACNA1I,Q9P0X4
BE0000013,Adenosine_receptor_A1,C0001451,ADORA1,P30542
BE0000014,Tyrosine-protein_kinase_ABL1,C1439337,ABL1,P00519
BE0000015,High_affinity_immunoglobulin_epsilon_receptor_subunit_alpha,,FCER1A,P12319
BE0000016,Coagulation_factor_VIII,C0015506,F8,P00451
BE0000017,Prostaglandin_G/H_synthase_1,C1335271,PTGS1,P23219
BE0000018,Beta-adrenergic_receptor_kinase_2,C0285499,ADRBK2,P35626
BE0000019,30S_ribosomal_protein_S4,,rpsD,P0A7V8
BE0000020,D(1A)_dopamine_receptor,C3711530,DRD1,P21728
BE0000021,Thymidylate_synthase,C0040085,TMP1,P12461
BE0000022,Solute_carrier_family_13_member_1,C1420096,SLC13A1,Q9BZW2
BE0000023,Vascular_endothelial_growth_factor_receptor_3,C0169539,FLT4,P35916
BE0000024,Amiloride-sensitive_sodium_channel_subunit_beta,,SCNN1B,P51168
BE0000025,Collagen_alpha-1(I)_chain,C0972255,COL1A1,P02452
BE0000026,Tubulin_beta-1_chain,,TUBB1,Q9H4B7
BE0000027,"NADH_dehydrogenase_[ubiquinone]_flavoprotein_3,_mitochondrial",,NDUFV3,P56181
BE0000028,"Phenylalanine--tRNA_ligase,_mitochondrial",,FARS2,O95363
BE0000029,Vascular_endothelial_growth_factor_receptor_1,C0378516,FLT1,P17948
BE0000030,Cystine/glutamate_transporter,C1880211,SLC7A11,Q9UPY5
BE0000031,7-dehydrocholesterol_reductase,C0049866,DHCR7,Q9UBM7
