Drug,Protein ID,Protein Name
DB00303,P45059,Peptidoglycan_synthase_FtsI
DB00114,P19113,Histidine_decarboxylase
DB00117,P19113,Histidine_decarboxylase
DB00142,Q9UI32,"Glutaminase_liver_isoform,_mitochondrial"
DB01839,P00488,Coagulation_factor_XIII_A_chain
DB11300,P00488,Coagulation_factor_XIII_A_chain
DB11311,P00488,Coagulation_factor_XIII_A_chain
DB11571,P00488,Coagulation_factor_XIII_A_chain
DB11572,P00488,Coagulation_factor_XIII_A_chain
DB13151,P00488,Coagulation_factor_XIII_A_chain
DB00125,P35228,"Nitric_oxide_synthase,_inducible"
DB00155,P35228,"Nitric_oxide_synthase,_inducible"
DB01110,P35228,"Nitric_oxide_synthase,_inducible"
DB01234,P35228,"Nitric_oxide_synthase,_inducible"
DB08814,P35228,"Nitric_oxide_synthase,_inducible"
DB11327,P35228,"Nitric_oxide_synthase,_inducible"
DB00157,P37059,Estradiol_17-beta-dehydrogenase_2
DB00783,P37059,Estradiol_17-beta-dehydrogenase_2
DB13952,P37059,Estradiol_17-beta-dehydrogenase_2
DB13953,P37059,Estradiol_17-beta-dehydrogenase_2
DB13954,P37059,Estradiol_17-beta-dehydrogenase_2
DB13955,P37059,Estradiol_17-beta-dehydrogenase_2
DB13956,P37059,Estradiol_17-beta-dehydrogenase_2
DB00114,P06737,"Glycogen_phosphorylase,_liver_form"
DB00131,P06737,"Glycogen_phosphorylase,_liver_form"
DB00157,Q13423,"NAD(P)_transhydrogenase,_mitochondrial"
DB09092,Q13423,"NAD(P)_transhydrogenase,_mitochondrial"
DB00157,P11766,Alcohol_dehydrogenase_class-3
DB03017,P11766,Alcohol_dehydrogenase_class-3
DB00157,P48728,"Aminomethyltransferase,_mitochondrial"
DB00157,P50213,"Isocitrate_dehydrogenase_[NAD]_subunit_alpha,_mitochondrial"
DB06757,P50213,"Isocitrate_dehydrogenase_[NAD]_subunit_alpha,_mitochondrial"
