,DrugBankID,DrugName,DBpediaURL
0,DB00001,Lepirudin,http://dbpedia.org/resource/Lepirudin
1,DB00002,Cetuximab,http://dbpedia.org/resource/Cetuximab
2,DB00003,Dornase_alfa,http://dbpedia.org/resource/Dornase_alfa
3,DB00004,Denileukin_diftitox,http://dbpedia.org/resource/Denileukin_diftitox
4,DB00005,Etanercept,http://dbpedia.org/resource/Etanercept
5,DB00006,Bivalirudin,http://dbpedia.org/resource/Bivalirudin
6,DB00007,Leuprolide,http://dbpedia.org/resource/Bivalirudin
7,DB00008,Peginterferon_alfa-2a,http://dbpedia.org/resource/Peginterferon_alfa-2a
8,DB00009,Alteplase,http://dbpedia.org/resource/Duteplase
9,DB00010,Sermorelin,http://dbpedia.org/resource/Sermorelin
10,DB00011,Interferon_alfa-n1,http://dbpedia.org/resource/Interferon_alfa-2b
11,DB00012,Darbepoetin_alfa,http://dbpedia.org/resource/Darbepoetin_alfa
12,DB00013,Urokinase,http://dbpedia.org/resource/Urokinase
13,DB00014,Goserelin,http://dbpedia.org/resource/Goserelin
14,DB00015,Reteplase,http://dbpedia.org/resource/Reteplase
15,DB00016,Erythropoietin,http://dbpedia.org/resource/Erythropoietin
16,DB00017,Salmon_Calcitonin,http://dbpedia.org/resource/Calcitonin
17,DB00018,Interferon_alfa-n3,http://dbpedia.org/resource/Interferon_alpha-n3
18,DB00019,Pegfilgrastim,http://dbpedia.org/resource/Pegfilgrastim
19,DB00020,Sargramostim,http://dbpedia.org/resource/Sargramostim
20,DB00021,Secretin,http://dbpedia.org/resource/Secretin
21,DB00022,Peginterferon_alfa-2b,http://dbpedia.org/resource/Peginterferon_alfa-2b
22,DB00023,Asparaginase_Escherichia_coli,http://dbpedia.org/resource/Escherichia_coli
23,DB00024,Thyrotropin_Alfa,http://dbpedia.org/resource/Thyroid-stimulating_hormone
24,DB00025,"Antihemophilic_factor,_human_recombinant",http://dbpedia.org/resource/Aafact
25,DB00026,Anakinra,http://dbpedia.org/resource/Anakinra
26,DB00027,Gramicidin_D,http://dbpedia.org/resource/Gramicidin
27,DB00028,Immune_Globulin_Human,http://dbpedia.org/resource/Vaccinia_immune_globulin
28,DB00029,Anistreplase,http://dbpedia.org/resource/Anistreplase
29,DB00030,Insulin_Human,http://dbpedia.org/resource/Insulin
30,DB00031,Tenecteplase,http://dbpedia.org/resource/Tenecteplase
31,DB00032,Menotropins,http://dbpedia.org/resource/Menotropin
